COLLEGES,CITY,WEBSITE,COURSE
"Sheodeni Ram Ayodhya Prasad College, Chakia",76 kms from Chapra,N/A,BA
"D.K. College, Buxar",81 kms from Chapra,N/A,BA
"M.V. College, Buxar",81 kms from Chapra,N/A,BA
"Bhola Prasad Singh College, Gopalganj",82 kms from Chapra,N/A,BA
"Gopeshwar College Hathua, Gopalganj",82 kms from Chapra,N/A,BA
"GDM College, Harnaut",90 kms from Chapra,N/A,BA
"Nalanda Open University - [NOU], Nalanda",93 kms from Chapra,N/A,BA
"Nava Nalanda Mahavihara - [NNM], Nalanda",93 kms from Chapra,N/A,BA
"Kisan College, Nalanda",93 kms from Chapra,N/A,BA
"K.K. University, Nalanda",93 kms from Chapra,N/A,BA
"Munshi Singh College, Motihari",97 kms from Chapra,N/A,BA
"Sri Narayan Singh College, Motihari",97 kms from Chapra,N/A,BA
"Mahatma Gandhi Central University - [MGCU], Motihari",97 kms from Chapra,N/A,BA
"Nalanda College, Biharsharif",100 kms from Chapra,N/A,BA
"Samastipur College, Samastipur",103 kms from Chapra,N/A,BA
"Anjabit Singh College, Rohtas",108 kms from Chapra,N/A,BA
"Gaya College, Gaya",113 kms from Chapra,N/A,BA
"Magadh University - [MU], Gaya",113 kms from Chapra,N/A,BA
"Anugrah Memorial College - [AM], Gaya",113 kms from Chapra,N/A,BA
"S.N.S. College, Gaya",113 kms from Chapra,N/A,BA
"Sanjay Gandhi Mahila College - [SGMC], Gaya",113 kms from Chapra,N/A,BA
"Central University of South Bihar - [CUSB], Gaya",113 kms from Chapra,N/A,BA
"Mirza Ghalib College - [MGC], Gaya",113 kms from Chapra,N/A,BA
"Directorate of Distance Education Magadh University - [DDE MU], Gaya",113 kms from Chapra,N/A,BA
"Maharani Janki Kunwar College - [MJK], Bettiah",116 kms from Chapra,N/A,BA
"Sri Radha Krishna Goenka College, Sitamarhi",117 kms from Chapra,N/A,BA
"Gopal Narayan Singh University - [GNSU], Sasaram",118 kms from Chapra,N/A,BA
"Sher Shah College, Sasaram",118 kms from Chapra,N/A,BA
"Baba Gajadhar Das Balika Post Graduate College, Ghazipur",120 kms from Chapra,N/A,BA
"Bapu Mahavidyalaya, Ghazipur",120 kms from Chapra,N/A,BA
"Jang Bahadur Rai Mahavidyalaya, Ghazipur",120 kms from Chapra,N/A,BA
"Megh Baran Singh College, Ghazipur",120 kms from Chapra,N/A,BA
"Prabhu Narayan Singh Maha Vidyalaya, Ghazipur",120 kms from Chapra,N/A,BA
"Ramarpit Mahavidyalaya, Ghazipur",120 kms from Chapra,N/A,BA
"Kameshwar Singh Darbhanga Sanskrit University - [KSDSU], Darbhanga",121 kms from Chapra,N/A,BA
"Lalit Narayan Mithila University - [LNMU], Darbhanga",121 kms from Chapra,N/A,BA
"C. M. College, Darbhanga",121 kms from Chapra,N/A,BA
"Directorate of Distance Education, L. N. Mithila University, Darbhanga",121 kms from Chapra,N/A,BA
"Maharaj Lakshmishwar Singh Memorial College, Darbhanga",121 kms from Chapra,N/A,BA
"Maryada Purusottam PG College, Mau",121 kms from Chapra,N/A,BA
"Ramsundar Pandey Mahavidhyalaya, Mau",121 kms from Chapra,N/A,BA
"Sarvodaya College of Technology and Management - [SCOTM], Deoria",126 kms from Chapra,N/A,BA
"Dulari Devi Degree College, Deoria",126 kms from Chapra,N/A,BA
"Swami Devanand PG College, Deoria",126 kms from Chapra,N/A,BA
"Magadh Mahila College, Patna","Patna, Bihar",N/A,MA
"Anugrah Narayan College - [ANC], Patna","Patna, Bihar",N/A,MA
"Patna Women's College - [PWC], Patna","Patna, Bihar",N/A,MA
"Ram Krishna Dwarika College - [RKD], Patna","Patna, Bihar",N/A,MA
"College of Commerce, Arts & Science, Patna","Patna, Bihar",N/A,MA
"Patna University - [PU], Patna","Patna, Bihar",N/A,MA
"Patna College, Patna","Patna, Bihar",N/A,MA
"Amity University, Patna","Patna, Bihar",N/A,MA
"Aryabhatta Knowledge University - [AKU], Patna","Patna, Bihar",N/A,MA
"Patliputra University, Patna","Patna, Bihar",N/A,MA
"Anugrah Narayan Singh College - [ANS] Barh, Patna","Patna, Bihar",N/A,MA
"Jagat Narain Lal College - [JNL], Patna","Patna, Bihar",N/A,MA
"Sri Arvind Mahila College, Patna","Patna, Bihar",N/A,MA
"Thakur Prasad Singh College - [TPS], Patna","Patna, Bihar",N/A,MA
"JD Women's College, Patna","Patna, Bihar",N/A,MA
"Maulana Mazharul Haque Arabic and Persian University - [MMHAPU], Patna","Patna, Bihar",N/A,MA
"Ganga Devi Mahila Mahavidyalaya - [GDMM] Kankarbagh, Patna","Patna, Bihar",N/A,MA
"G.J. College, Patna","Patna, Bihar",N/A,MA
"Dr. Zakir Husain Institute - [ZHI], Patna","Patna, Bihar",N/A,MA
"Nalanda Business School - [NBC], Patna","Patna, Bihar",N/A,MA
"Raj Narain college, Hajipur",13 kms from Patna,N/A,MA
"Dr. C.V. Raman University - [CVRU], Vaishali",24 kms from Patna,N/A,MA
"Jai Prakash Mahila College, Chapra",44 kms from Patna,N/A,MA
"Rajendra College, Chapra",44 kms from Patna,N/A,MA
"Jai Prakash University, Chapra",44 kms from Patna,N/A,MA
"H.D. Jain College, Arrah",47 kms from Patna,N/A,MA
"Veer Kunwar Singh University - [VKSU], Arrah",47 kms from Patna,N/A,MA
"Grant Medical College and Sir J. J. Group of Hospitals, Mumbai","Mumbai, Maharashtra",N/A,MBBS
"Seth GS Medical College - [GSMC], Mumbai","Mumbai, Maharashtra",N/A,MBBS
"Lokmanya Tilak Municipal Medical College-[LTMMC], Mumbai","Mumbai, Maharashtra",N/A,MBBS
"K.J. Somaiya Medical College & Research Centre - [KJSMC], Mumbai","Mumbai, Maharashtra",N/A,MBBS
"Topiwala National Medical College - [TNMC], Mumbai","Mumbai, Maharashtra",N/A,MBBS
"HBT Medical College & Dr. R.N. Cooper Municipal General Hospital, Mumbai","Mumbai, Maharashtra",N/A,MBBS
"MGM Medical College, Navi Mumbai",17 kms from Mumbai,N/A,MBBS
"DY Patil University, Navi Mumbai",17 kms from Mumbai,N/A,MBBS
"Terna Medical College, Navi Mumbai",17 kms from Mumbai,N/A,MBBS
"MGM University of Health Sciences - [MGMUHS], Navi Mumbai",17 kms from Mumbai,N/A,MBBS
"Rajiv Gandhi Medical College - [RGMC], Thane",19 kms from Mumbai,N/A,MBBS
"Dr DY Patil Vidyapeeth - [DPU], Pune",120 kms from Mumbai,N/A,MBBS
"Armed Forces Medical College - [AFMC], Pune",120 kms from Mumbai,N/A,MBBS
"Byramjee Jeejeebhoy Government Medical College - [BJMC], Pune",120 kms from Mumbai,N/A,MBBS
"Dr DY Patil Medical College Hospital and Research Centre - [DYPMC], Pune",120 kms from Mumbai,N/A,MBBS
"Bharati Vidyapeeth Deemed University Pune, Pune",120 kms from Mumbai,N/A,MBBS
"Bharati Vidyapeeth Medical College - [BVMC], Pune",120 kms from Mumbai,N/A,MBBS
"Maharashtra Institute of Medical Education and Research - [MIMER], Pune",120 kms from Mumbai,N/A,MBBS
"Smt Kashibai Navale Medical College and General Hospital - [SKNMCGH], Pune",120 kms from Mumbai,N/A,MBBS
"Symbiosis International University - [SIU], Pune",120 kms from Mumbai,N/A,MBBS
"Symbiosis Medical College for Women - [SMCW], Pune",120 kms from Mumbai,N/A,MBBS
"Maharashtra University of Health Sciences - [MUHS], Nashik",140 kms from Mumbai,N/A,MBBS
"GMERS Medical College, Valsad",169 kms from Mumbai,N/A,MBBS
"Dr. Vithalrao Vikhe Patil Foundation's Medical College - [VIMS], Ahmednagar",197 kms from Mumbai,N/A,MBBS
"Pravara Institute of Medical Sciences University - [PIMS], Ahmednagar",197 kms from Mumbai,N/A,MBBS
"Rural Dental College, Ahmednagar",197 kms from Mumbai,N/A,MBBS
"Pravara Rural Medical College - [PRMC], Loni, Ahmednagar",197 kms from Mumbai,N/A,MBBS
"SP Jain [SPJIMR], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"JBIMS Mumbai, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"IIM Mumbai - Indian Institute of Management, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"TISS Tata Institute of Social Sciences, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Shailesh J. Mehta School of Management, IIT Bombay - [SJMSOM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"School of Business Management, NMIMS University - [SBM NMIMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"KJ Somaiya Institute of Management, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"S.P Mandali's Prin L.N Welingkar Institute of Management Develepment & Research (WeSchool), Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"SIES School of Business Studies - [SIES SBS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"N. L. Dalmia Institute of Management Studies and Research - [NLDIMSR], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Amity University, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Aditya Institute of Management Studies and Research - [AIMSR], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Kohinoor Business School - [KBS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Chetana's Institute of Management and Research - [CIMR], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Vivekanand Business School - [VBS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"NEST Academy of Event Management & Development- [NAEMD], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"IES's Management College and Research Centre - [IES MCRC], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Thakur Institute of Management Studies and Research - [TIMSR], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Guru Nanak Institute of Management Studies - [GNIMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Parle Tilak Vidyalaya Association’s Institute of Management - [PTVA], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Institute of Chemical Technology - [ICT], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Thakur College of Engineering and Technology - [TCET], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Mumbai University - [MU], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"National Institute of Management - [NIM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Mulund College of Commerce, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Shreemati Nathibai Damodar Thackersey Women's University - [SNDT], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"K. J. Somaiya College of Education, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Hansraj Jivandas College of Education, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"NIF Global Andheri, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Pearl Academy, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Whistling Woods International - [WWI], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"International School of Design - [INSD] Kandivali, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"ATLAS SkillTech University, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"International School of Engineering - [INSOFE], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"LN Group of Institutes, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Pannache International School of Design - [INSD], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Nagindas Khandwala College, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Shri MD Shah Mahila College of Arts & Commerce, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Vikas Night College of Arts Science and Commerce, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Sasmira The Synthetic and Art Silk Mill's Research Association - [SASMIRA], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"EMDI Institute of Media and Communication, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Harkisan Mehta Foundation Institute of Media, Research and Analysis, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Aegis School of Business and Telecommunication, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Amity Global Business School - [AGBS] Malad, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Atharva School of Business, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Chanakya Institute of Management Studies and Research, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Europe Asia Business School - [EABS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Garware Institute of Career Education and Development - [GICED], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"ICFAI Business School - [IBS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Indian Institute of Materials Management - [IIMM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Jankidevi Bajaj Institute of Management Studies - [JDBIMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Kaizen School of Business Management - [KSBM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Kohinoor Management School - [KMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Rustomjee Business School - [RBS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Narsee Monjee Institute of Management Studies - [NMIMS Deemed to be University], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Indian Institute of Business Management and Studies - [IIBMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"K. C. College of Management Studies - [KCCMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"National Academy of Management Studies - [NAMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Zenith Institute of Business Management - [ZIBM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Indian Institute of Packaging - [IIP], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"SDA Bocconi Asia Center, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Thadomal Shahani Centre For Management - [TSCFM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Maharashtra National Law University Mumbai - [MNLU], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Atharva College Of Hotel Management And Catering Technology - [ACHMCT], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Lithan Genovate, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Deviprasad Goenka Management College of Media Studies - [DGMC], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Hult International Business School - [HULT], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"ASM's Institute of Management & Computer Studies - [IMCOST], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Athena School of Management, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Institute of Logistics and Aviation Management - [ILAM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"International College of Financial Planning - [ICOFP], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"ICRI, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"SP Jain School of Global Management -[SPJSGM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"WLCI Fashion College, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"ISMT Business School - [ISMT BS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Indian School of Management & Studies - [ISMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"MET Asian Management Development Centre - [MET AMDC], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"NIEM The Institute of Event Management, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"SAS Institute of Management Studies, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Sahyadri Institute of Management & Research - [SIMR], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"ITM Business School Dombivli, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"BSE Institute Limited - [BIL], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"RICS School of Built Environment, Amity University - [RICS SBE], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Trade-wings Institute of management - [TIM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"JS Kothari Business School - [JSKBS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"MET Centre for Insurance Training, Research and Development, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Mumbai Educational Trust - [MET], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Atharva Institute of Film and Television - [AIFT], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Jagdish Sheth School of Management - [JAGSOM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Sahyadri Institute of Management & Research - [SIMR], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"ITM Business School Dombivli, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"BSE Institute Limited - [BIL], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"RICS School of Built Environment, Amity University - [RICS SBE], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Trade-wings Institute of management - [TIM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"JS Kothari Business School - [JSKBS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"MET Centre for Insurance Training, Research and Development, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Mumbai Educational Trust - [MET], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Atharva Institute of Film and Television - [AIFT], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Jagdish Sheth School of Management - [JAGSOM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"International Institute of Sports & Management - [IISM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"NMIMS Centre of Excellence Analytics and Data Science, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"The School of Excellence - [TSOE], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"ISME School of Management & Entrepreneurship - [ISME], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Thomas Cook Centre of Learning, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Jaro Education, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"upGrad, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"The Second Wind - [TSW], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Pravin Dalal School of Entrepreneurship and Family Business Management, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"TISS School of Vocational Education- [TISS SVE], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Talentedge, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Thakur Global Business School - [TGBS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Indian Institute of Digital Education - [IIDE], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"CII School of Logistics, Amity University, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"HSNC University, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"International Academy of Sport Science and Technology - [AISTS INDIA], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Bunt's Sangha Uma Krishna Shetty Institute Of Management Studies & Research - [UKSIMSR], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Trade Wings Institute of Management, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"BITS School of Management - [BITSoM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"National Institute of Management and Research Studies - [NIMR], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Atharva college of Hotel management & catering technology, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Vidyalankar School of Business - [VSB], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Somaiya Vidyavihar University, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"MET Institute of Post Graduate Diploma in Management, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"BSS Foundation, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Amity Business School, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Valia School of Management - [VSM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Inspire Academy, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Aditya School of Business Management - [ASBM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Institute of Sports Management - [ISM], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Maharashtra State Skills University, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"SASMIRA's Business School - [SBS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Durgadevi Saraf Global Business School - [DSGS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"MKES Institute of Management Studies and Research, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Welingkar Online, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Cartier Global Academy - [CGA], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Smt. Parmeshwaridevi Durgadutt Tibrewala Institute Of Management Studies & Research - [SPDTIMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Xaviers Institute of Business Management Studies - [XIBMS], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Niranjan Hiranandani School of Management & Real Estate - [NHSMRE], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Talent SkillsVarsity, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"International School of Design - [INSD Luxe], Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Futurevarsity, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Live Global Institute Of Travel and Tourism, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"NMIMS CDOE, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"UCAM, Mumbai","Mumbai, Maharashtra",N/A,MBA/PGDM
"Kirsan's Mission Institute of Management - [KMIM], Goregaon",10 kms from Mumbai,N/A,MBA/PGDM
"SIES College of Management Studies - [SIESCOMS], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"ITM Business School Kharghar - [ITM], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Institute of Business Studies and Research - [IBSAR], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Regenesys Business School, Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"DY Patil University, Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"SVKM's Narsee Monjee Institute of Management Studies - [NMIMS University], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Chhatrapati Shivaji Maharaj University - [CSMU], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"ITM Group of Institutions, Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"ITM Institute of Financial Markets - [ITM-IFM], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"SPM Institute of Business Studies, Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Evolve Business School - [EBS], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Pillai Institute of Management Studies & Research -[PIMSR], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"School of Commerce, Management and Hospitality, Chhatrapati Shivaji Maharaj University, Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Dr. Mar Theophilus Institute of Management Studies - [DMTIMS], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"DY Patil University, Vijay Patil School of Management - [VPSM], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Terna Global Business School, Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Institute of Innovative Designs and Technology - [IIDT], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Jio Institute, Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Pillai Business School - [PBS], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"ITM Skills University, Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"IIM Indore [Mumbai Campus], Navi Mumbai",17 kms from Mumbai,N/A,MBA/PGDM
"Reena Mehta College, Thane",19 kms from Mumbai,N/A,MBA/PGDM
"Academy of Management Professional Development - [AMPD], Thane",19 kms from Mumbai,N/A,MBA/PGDM
"Swayam Siddhi College of Management & Research - [SSCMR], Thane",19 kms from Mumbai,N/A,MBA/PGDM
"International School of Design - [INSD], Thane",19 kms from Mumbai,N/A,MBA/PGDM
"St. Wilfred's College of Management Studies - [SWCMS], Thane",19 kms from Mumbai,N/A,MBA/PGDM
"St Wilfred’s College of Arts, Commerce & Science- [SWCACS], Thane",19 kms from Mumbai,N/A,MBA/PGDM
"Modern Academy- [MA], Bhiwandi",29 kms from Mumbai,N/A,MBA/PGDM
"Navsahyadri Group of Institutes - [NESGI], Naigaon",30 kms from Mumbai,N/A,MBA/PGDM
"Pramod Ram Ujagar Tiwari Saket Institute of Management- [PUTSIM], Kalyan",32 kms from Mumbai,N/A,MBA/PGDM
"Imperial Institute of Advanced Management - [IIAM], Kalyan",32 kms from Mumbai,N/A,MBA/PGDM
"Universal Business School - [UBS], Karjat",51 kms from Mumbai,N/A,MBA/PGDM
"Institute of Business Studies and Research - [IBSAR], Karjat",51 kms from Mumbai,N/A,MBA/PGDM
"Vijaybhoomi University, Karjat",51 kms from Mumbai,N/A,MBA/PGDM
"Universal AI University, Karjat",51 kms from Mumbai,N/A,MBA/PGDM
"Aldel Institute of Management, Palghar",70 kms from Mumbai,N/A,MBA/PGDM
"Premier College of Arts Commerce Science and Management Studies, Raigad",70 kms from Mumbai,N/A,MBA/PGDM
"AICAR Business School, Raigad",70 kms from Mumbai,N/A,MBA/PGDM
"NBN Sinhgad School of Engineering - [NBNSSOE], Ambegaon",90 kms from Mumbai,N/A,MBA/PGDM
"Balaji Institute of International Business - [BIIB], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"Balaji Institute of Management and Human Resource Development - [BIMHRD], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"MIT World Peace University - [MIT-WPU], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"International Institute of Management Studies - [IIMS], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"Pune Institute of Business Management - [PIBM], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"Bharati Vidyapeeth University, Institute of Management and Entrepreneurship Development - [IMED], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"Vaikunth Mehta National Institute of Co-Operative Management - [VAMNICOM], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"Symbiosis Institute of Media and Communication - [SIMC], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"Symbiosis Centre for Information Technology - [SCIT], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"MIT Art, Design and Technology University - [MITADT], Pune",120 kms from Mumbai,N/A,MBA/PGDM
"Dr. Babasaheb Ambedkar Technological University - [DBATU], Lonere",112 kms from Mumbai,N/A,MBA/PGDM
"Symbiosis Institute of Business Management - [SIBM], Pune",120 kms from Mumbai,N/A,MBA/PGDM
