COLLEGES,CITY,WEBSITE,COURSE
"Sandip University, Madhubani",142 kms from Patna,N/A,MBA/PGDM
"Technical Education and Research Institute - [TERI], Ghazipur",156 kms from Patna,N/A,MBA/PGDM
"Sarvodaya College of Technology and Management - [SCOTM], Deoria",169 kms from Patna,N/A,MBA/PGDM
"AISECT University, Hazaribagh",179 kms from Patna,N/A,MBA/PGDM
"KB Women's College, Hazaribagh",179 kms from Patna,N/A,MBA/PGDM
"Vinoba Bhave University - [VBU], Hazaribagh",179 kms from Patna,N/A,MBA/PGDM
"Tilka Manjhi Bhagalpur University - [TMBU], Bhagalpur",187 kms from Patna,N/A,MBA/PGDM
"Ramchandra Chandravansi University - [RCU], Palamu",189 kms from Patna,N/A,MBA/PGDM
"Indian Statistical Institute, Giridih",195 kms from Patna,N/A,MBA/PGDM
"Durga Soren University, Deoghar",200 kms from Patna,N/A,MBA/PGDM
"IIT Patna - Indian Institute of Technology - [IITP], Patna","Patna, Bihar",N/A,B.Sc
"National Institute of Technology - [NITP], Patna","Patna, Bihar",N/A,B.Sc
"Indira Gandhi Institute of Medical Sciences - [IGIMS], Patna","Patna, Bihar",N/A,B.Sc
"MGM Group of Institutions, Patna","Patna, Bihar",N/A,B.Sc
"Magadh Mahila College, Patna","Patna, Bihar",N/A,B.Sc
"R.P. Sharma Institute of Technology, Patna","Patna, Bihar",N/A,B.Sc
"Maltidhari College, Patna","Patna, Bihar",N/A,B.Sc
"Anugrah Narayan College - [ANC], Patna","Patna, Bihar",N/A,B.Sc
"Patna Women's College - [PWC], Patna","Patna, Bihar",N/A,B.Sc
"Ram Krishna Dwarika College - [RKD], Patna","Patna, Bihar",N/A,B.Sc
"Ram Lakhan Singh Yadav College - [RLSY], Patna","Patna, Bihar",N/A,B.Sc
"College of Commerce, Arts & Science, Patna","Patna, Bihar",N/A,B.Sc
"Patna University - [PU], Patna","Patna, Bihar",N/A,B.Sc
"Amity University, Patna","Patna, Bihar",N/A,B.Sc
"Aryabhatta Knowledge University - [AKU], Patna","Patna, Bihar",N/A,B.Sc
"Patliputra University, Patna","Patna, Bihar",N/A,B.Sc
"Bihar National College, Patna","Patna, Bihar",N/A,B.Sc
"Anugrah Narayan Singh College - [ANS] Barh, Patna","Patna, Bihar",N/A,B.Sc
"Bhuwaneshwari Dayal College - [BDC] Mithapur, Patna","Patna, Bihar",N/A,B.Sc
"Bindeshwar Singh College, Patna","Patna, Bihar",N/A,B.Sc
"Jagat Narain Lal College - [JNL], Patna","Patna, Bihar",N/A,B.Sc
"Sri Arvind Mahila College, Patna","Patna, Bihar",N/A,B.Sc
"Sri Guru Gobind Singh College, Patna","Patna, Bihar",N/A,B.Sc
"Patna Science College, Patna","Patna, Bihar",N/A,B.Sc
"Thakur Prasad Singh College - [TPS], Patna","Patna, Bihar",N/A,B.Sc
"JD Women's College, Patna","Patna, Bihar",N/A,B.Sc
"Catalyst Institute of Management and Advance Global Excellence - [CIMAGE], Patna","Patna, Bihar",N/A,B.Sc
"Maulana Mazharul Haque Arabic and Persian University - [MMHAPU], Patna","Patna, Bihar",N/A,B.Sc
"Admerit College, Patna","Patna, Bihar",N/A,B.Sc
"Ganga Devi Mahila Mahavidyalaya - [GDMM] Kankarbagh, Patna","Patna, Bihar",N/A,B.Sc
"G.J. College, Patna","Patna, Bihar",N/A,B.Sc
"Mahila College Khagaul, Patna","Patna, Bihar",N/A,B.Sc
"Oriental College, Patna","Patna, Bihar",N/A,B.Sc
"Nalanda Business School - [NBC], Patna","Patna, Bihar",N/A,B.Sc
"Exalt Group of Institutions, Patna","Patna, Bihar",N/A,B.Sc
"Sir Ganesh Dutt Memorial College - [SGDMC], Patna","Patna, Bihar",N/A,B.Sc
"Muneshwar Singh Muneshwari Samta College, Hajipur",13 kms from Patna,N/A,B.Sc
"Raj Narain college, Hajipur",13 kms from Patna,N/A,B.Sc
"Dr. C.V. Raman University - [CVRU], Vaishali",24 kms from Patna,N/A,B.Sc
"B.M.D. College, Vaishali",24 kms from Patna,N/A,B.Sc
"Vaishali Mahila College, Vaishali",24 kms from Patna,N/A,B.Sc
"Jai Prakash Mahila College, Chapra",44 kms from Patna,N/A,B.Sc
"Rajendra College, Chapra",44 kms from Patna,N/A,B.Sc
"Jai Prakash University, Chapra",44 kms from Patna,N/A,B.Sc
"GDM College, Harnaut",47 kms from Patna,N/A,B.Sc
"H.D. Jain College, Arrah",47 kms from Patna,N/A,B.Sc
"Veer Kunwar Singh University - [VKSU], Arrah",47 kms from Patna,N/A,B.Sc
"Nalanda Open University - [NOU], Nalanda",50 kms from Patna,N/A,B.Sc
"Kisan College, Nalanda",50 kms from Patna,N/A,B.Sc
"K.K. University, Nalanda",50 kms from Patna,N/A,B.Sc
"Nalanda College, Biharsharif",58 kms from Patna,N/A,B.Sc
"Tirhut College of Agriculture, Muzaffarpur",64 kms from Patna,N/A,B.Sc
"BR Ambedkar Bihar University - [BRABU], Muzaffarpur",64 kms from Patna,N/A,B.Sc
"Langat Singh College - [LS], Muzaffarpur",64 kms from Patna,N/A,B.Sc
"RBBM College, Muzaffarpur",64 kms from Patna,N/A,B.Sc
"Sri Raghav Prasad Singh College, Muzaffarpur",64 kms from Patna,N/A,B.Sc
"Ram Dayalu Singh College, Muzaffarpur",64 kms from Patna,N/A,B.Sc
"Mahant Darshan Das Mahila College - [MDDM], Muzaffarpur",64 kms from Patna,N/A,B.Sc
"Lalit Narayan Tirhut Mahavidyalaya - [LNT], Muzaffarpur",64 kms from Patna,N/A,B.Sc
"Directorate of Distance Education, B.R.A. Bihar University - [DDEBRABU], Muzaffarpur",64 kms from Patna,N/A,B.Sc
"Aadarsh India Technical and Paramedical College, Muzaffarpur",64 kms from Patna,N/A,B.Sc
"Dr. Rajendra Prasad Central Agricultural University, Samastipur",71 kms from Patna,N/A,B.Sc
"Samastipur College, Samastipur",71 kms from Patna,N/A,B.Sc
"Gaya College, Gaya",90 kms from Patna,N/A,B.Sc
"Magadh University - [MU], Gaya",90 kms from Patna,N/A,B.Sc
"Anugrah Memorial College - [AM], Gaya",90 kms from Patna,N/A,B.Sc
"S.N.S. College, Gaya",90 kms from Patna,N/A,B.Sc
"Sanjay Gandhi Mahila College - [SGMC], Gaya",90 kms from Patna,N/A,B.Sc
"Central University of South Bihar - [CUSB], Gaya",90 kms from Patna,N/A,B.Sc
"Mirza Ghalib College - [MGC], Gaya",90 kms from Patna,N/A,B.Sc
"Sheodeni Ram Ayodhya Prasad College, Chakia",91 kms from Patna,N/A,B.Sc
"C. M Science college, Darbhanga",98 kms from Patna,N/A,B.Sc
"Maharaj Lakshmishwar Singh Memorial College, Darbhanga",98 kms from Patna,N/A,B.Sc
"Sanjay Gandhi Mahila College - [SGMC], Gaya",90 kms from Patna,N/A,B.Sc
"Central University of South Bihar - [CUSB], Gaya",90 kms from Patna,N/A,B.Sc
"Mirza Ghalib College - [MGC], Gaya",90 kms from Patna,N/A,B.Sc
"Sheodeni Ram Ayodhya Prasad College, Chakia",91 kms from Patna,N/A,B.Sc
"C. M Science college, Darbhanga",98 kms from Patna,N/A,B.Sc
"Maharaj Lakshmishwar Singh Memorial College, Darbhanga",98 kms from Patna,N/A,B.Sc
"Oracle Institute of Management & Information Technology - [OIMIT], Ballia",101 kms from Patna,N/A,B.Sc
"Md. Shahban Memorial P.G. College, Ballia",101 kms from Patna,N/A,B.Sc
"Shivraj Smarak Mahavidyalaya, Ballia",101 kms from Patna,N/A,B.Sc
"Shri Ram Karan PG College - [SRKPGC], Ballia",101 kms from Patna,N/A,B.Sc
"Kisan P.G. College, Ballia",101 kms from Patna,N/A,B.Sc
"Jananayak Chandrashekhar University - [JNCU], Ballia",101 kms from Patna,N/A,B.Sc
"Ganesh Dutt College - [GDC], Begusarai",101 kms from Patna,N/A,B.Sc
"Kanhai Lal Sahu College - [KLS], Nawada",102 kms from Patna,N/A,B.Sc
"Hariram College, Siwan",103 kms from Patna,N/A,B.Sc
"Ram Vilas Ganga Ram College - [RVGRC], Siwan",103 kms from Patna,N/A,B.Sc
"Vidya Bhawan Mahila Mahavidyalaya, Siwan",103 kms from Patna,N/A,B.Sc
"Mamta Institute of Education -[MIED], Siwan",103 kms from Patna,N/A,B.Sc
"D.K. College, Buxar",116 kms from Patna,N/A,B.Sc
"M.V. College, Buxar",116 kms from Patna,N/A,B.Sc
"Sri Radha Krishna Goenka College, Sitamarhi",116 kms from Patna,N/A,B.Sc
"Munshi Singh College, Motihari",119 kms from Patna,N/A,B.Sc
"Sri Narayan Singh College, Motihari",119 kms from Patna,N/A,B.Sc
"Mahatma Gandhi Central University - [MGCU], Motihari",119 kms from Patna,N/A,B.Sc
"Bhola Prasad Singh College, Gopalganj",119 kms from Patna,N/A,B.Sc
"Gopeshwar College Hathua, Gopalganj",119 kms from Patna,N/A,B.Sc
"Daudnagar College, Aurangabad",127 kms from Patna,N/A,B.Sc
"Ram Lakhan Singh Yadav College - [RLSY], Aurangabad",127 kms from Patna,N/A,B.Sc
"Sachchidanand Sinha College, Aurangabad",127 kms from Patna,N/A,B.Sc
"Anjabit Singh College, Rohtas",127 kms from Patna,N/A,B.Sc
"Capital University - [CU], Kodarma",133 kms from Patna,N/A,B.Sc
"Jagannath Jain College - [JJC], Kodarma",133 kms from Patna,N/A,B.Sc
"Gopal Narayan Singh University - [GNSU], Sasaram",133 kms from Patna,N/A,B.Sc
